id,main url,title,price,category,images,short desc,attribute 1,value 1,attribute 2,value 2,attribute 3,value 3,attribute 4,value 4,attribute 5,value 5,attribute 6,value 6,attribute 7,value 7,attribute 8,value 8,attribute 9,value 9,attribute 10,value 10,attribute 11,value 11,attribute 12,value 12,attribute 13,value 13,attribute 14,value 14,attribute 15,value 15,attribute 16,value 16,attribute 17,value 17,attribute 18,value 18,attribute 19,value 19,attribute 20,value 20,attribute 21,value 21,attribute 22,value 22,attribute 23,value 23,attribute 24,value 24,attribute 25,value 25,attribute 26,value 26,attribute 27,value 27,attribute 28,value 28,attribute 29,value 29,attribute 30,value 30,attribute 31,value 31
11,https://damatajhiz.com/products/4957/منبع-انبساط-باز-400-لیتری-دماتجهیز,منبع انبساط باز 400 لیتری دماتجهیز,3050000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/11/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/11/2.jpg","<ol><li>ظرفیت: 400 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (65،65،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://damatajhiz.com/products/2774/منبع-کويلی-ایستاده-500-لیتری-دماتجهیز,منبع کويلی ایستاده 500 لیتری دماتجهیز,10120000,منبع آب›منبع آب و کویلی دماتجهیز›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/5.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/6.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/7.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/8.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/9.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/10.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/11.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/12.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/12/13.jpg","<ol><li>ظرفیت: 500 لیتر</li><li>ابعاد(قطر، ارتفاع): 70 * 120 سانتیمتر</li><li>سطح کویل: 15 فوت مربع</li><li>تولید شده در دو نوع مختلف با ضخامت ورق بدنه 4 و 5 میلیمتری</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی ST37 مخصوص منابع فشار قوی</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://damatajhiz.com/products/2775/منبع-کويلی-ایستاده-600-لیتری-دماتجهیز,منبع کويلی ایستاده 600 لیتری دماتجهیز,11610000,منبع آب›منبع آب و کویلی دماتجهیز›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/5.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/6.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/7.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/8.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/9.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/10.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/11.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/12.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/13/13.jpg","<ol><li>ظرفیت: 600 لیتر</li><li>ابعاد(قطر، ارتفاع): 70 * 150 سانتیمتر</li><li>سطح کویل: 18 فوت مربع</li><li>تولید شده در دو نوع مختلف با ضخامت ورق بدنه 4 و 5 میلیمتری</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی ST37 مخصوص منابع فشار قوی</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://damatajhiz.com/products/4959/منبع-انبساط-باز-500-لیتری-دماتجهیز,منبع انبساط باز 500 لیتری دماتجهیز,3550000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/14/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/14/2.jpg","<ol><li>ظرفیت: 500 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (70،70،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3، 4  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://damatajhiz.com/products/3781/منبع-کویل-دار-افقي-آب-گرم-300-لیتری-دماتجهیز,منبع کویل دار افقي آب گرم 300 لیتری دماتجهیز,6500000,منبع آب›منبع آب و کویلی دماتجهیز›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/5.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/15/6.jpg","<ol><li>ظرفیت: 300 لیتر</li><li>ابعاد(قطر، طول): 50 * 150 سانتیمتر</li><li>سطح کویل: 7.5 فوت مربع</li><li>تولید شده در دو نوع مختلف با ضخامت ورق بدنه 4 و 5 میلیمتری</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی ST37 مخصوص منابع فشار قوی</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://damatajhiz.com/products/4960/منبع-انبساط-باز-600-لیتری-دماتجهیز,منبع انبساط باز 600 لیتری دماتجهیز,3550000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/16/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/16/2.jpg","<ol><li>ظرفیت: 600 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (75،80،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3، 4  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://damatajhiz.com/products/1518/مشعل-گازی-کم-مصرف-ایران-رادیاتور-gmg-220,مشعل گازی کم مصرف ایران رادیاتور GMG-220,16530000,مشعل›مشعل ایران رادیاتور›,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/17/1.jpg,<ol><li>قدرت گرمادهی: 190.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی و LPG</li><li>نحوه احتراق: تک مرحله ای </li><li>قطر لوله شعله پوش: 11.5 سانتیمتر</li><li>عملکرد مطلوب با فشار گاز پایین</li></ol>,مدل,,GMG-220,,نحوه احتراق,,تک مرحله ای,ظرفیت حرارتی kcal/h,"190,000",قطر شعله پوش CM,11.5,قطر خط گاز inch,1,گارانتی,1 سال گارانتی ایران رادیاتور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://damatajhiz.com/products/2038/هیتر-گازی-فن-دار-انرژی-مدل-640-فن-آلمانی,هیتر گازی فن دار انرژی مدل 640 (فن آلمانی),19243000,هیتر ›هیتر و بخاری کارگاهی انرژی›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/18/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/18/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/18/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/18/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/18/5.jpg","<ol><li>نوع سوخت: گاز شهری </li><li> برق مصرفی: تک فاز 220 ولت</li><li> قابلیت نصب بر روی چهار پایه زمینی و دیواری</li><li> مناسب برای فضاهای صنعتی، کارگاه، فروشگاه، باشگاه ورزشی، بانک، مساجد و ...</li></ol>",مدل,640 (فن آلمانی),نوع سوخت,گاز شهری ,توان حرارتی (kw),-,توان حرارتی (Kcal /Hr),33000-45000,مصرف سوخت (m3/Hr),4.8,فضای تحت پوشش (m3),900 ~ 700,جریان برق مصرفی (A),1,برق مصرفی ,تک فاز 220 ولت,قطر دودکش (cm),15,ارتفاع (cm),105,عرض (cm),72,عمق (cm),60,وزن (Kg),87,گارانتی,25 ماه گارانتی (از زمان نصب) شرکت انرژی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://damatajhiz.com/products/4961/منبع-انبساط-باز-800-لیتری-دماتجهیز,منبع انبساط باز 800 لیتری دماتجهیز,5100000,منبع آب›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/19/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/19/2.jpg","<ol><li>ظرفیت: 800 لیتر</li><li>ابعاد(ارتفاع، طول، عرض): (90،90،100) سانتی متر</li><li>ضخامت : 2، 2.5، 3، 4  میلی متر</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی</li><li>دارای 30 ماه گارانتی طلایی شرکت دماتجهیز و 10 سال خدمات پس از فروش</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,https://damatajhiz.com/products/2776/منبع-کويلی-ایستاده-800-لیتری-دماتجهیز,منبع کويلی ایستاده 800 لیتری دماتجهیز,14320000,منبع آب›منبع آب و کویلی دماتجهیز›,"https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/1.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/2.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/3.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/4.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/5.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/6.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/7.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/8.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/9.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/10.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/11.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/12.jpg,https://damava.ir/wp-content/uploads/2022/new/sarmayesh/20/13.jpg","<ol><li>ظرفیت: 800 لیتر</li><li>ابعاد(قطر، ارتفاع): 82 * 150 سانتیمتر</li><li>سطح کویل: 23 فوت مربع</li><li>تولید شده در دو نوع مختلف با ضخامت ورق بدنه 4 و 5 میلیمتری</li><li>ساخته شده از ورق گالوانیزه گرم ایرانی ST37 مخصوص منابع فشار قوی</li></ol>",گارانتی,30 ماه گارانتی طلایی دماتجهیز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
